Date,Dividends
2016-09-13,0.163000
2016-06-14,0.112000
2015-12-24,0.173000
2015-09-25,0.116000
2015-06-26,0.142000
2015-03-25,0.155000
2014-12-24,0.129000
2014-09-24,0.109000
2014-06-24,0.098000
2014-03-25,0.112000
