Ticker,Allocation
CPD.TO,0.1717
VAB.TO,0.0873
VCN.TO,0.0634
VUN.TO,0.0765
XEF.TO,0.1886
XQB.TO,0.0304
XQQ.TO,0.0277
XRE.TO,0.0141
XUS.TO,0.0342
ZHY.TO,0.0194
$CAD,0.2866
