Ticker,Allocation,CashReserve
CMR.TO,0.03
VAB.TO,0.04
VSB.TO,0.09
XHB.TO,0.04
RBO.TO,0.12
BSV,0.04
VCSH,0.04
XIC.TO,0.05
ZLB.TO,0.05
CDZ.TO,0.10
VUN.TO,0.11
IJH,0.03
VGG.TO,0.07
XEF.TO,0.075
RID.TO,0.07
XEC.TO,0.045
$CAD,0,300
