Ticker,Units,BookCost
CPD.TO,271,3505.74
VAB.TO,70,1794.33
VCN.TO,50,1389.42
VUN.TO,40,1551.92
XEF.TO,140,3842.47
XQB.TO,30,648.25
XQQ.TO,15,559.85
XRE.TO,20,346.32
XUS.TO,20,662.92
ZHY.TO,30,475.82
$CAD,59172700,5917.27
